"","code","country_name","amount_goods","share_goods","amount_services","share_services","amount_total","share_total","year"
"1","ARG","Argentina",35327576,0.00247291675481514,2500000,0.000437598459653422,37827576,0.00189149298470275,2020
"2","AUS","Australia",143130481,0.0100190787103437,19500000,0.00341326798529669,162630481,0.00813201495941306,2020
"3","AUT","Austria",57238268,0.00400665678148423,52900000,0.00925958340626641,110138268,0.00550724585866437,2020
"4","BEL","Belgium",214910842,0.015043676417913,77900000,0.0136355680028006,292810842,0.014641425966282,2020
"5","BGR","Bulgaria",57940371,0.00405580372188868,15100000,0.00264309469630667,73040371,0.00365223902653943,2020
"6","BRA","Brazil",26300358,0.00184101496111243,1.4e+07,0.00245055137405916,40300358,0.00201513954893672,2020
"7","BRN","Brunei Darussalam",21482,1.50373175127948e-06,0,0,21482,1.07416484464626e-06,2020
"8","CAN","Canada",81990427,0.00573929840707859,3.9e+07,0.00682653597059338,120990427,0.00604988656652731,2020
"9","CHE","Switzerland",104136521,0.00728951648335733,187700000,0.0328548923507789,291836521,0.0145927069752383,2020
"10","CHL","Chile",11570014,0.000809896537312545,3e+06,0.000525118151584106,14570014,0.000728544680420995,2020
"11","CHN","China (People's Republic of)",244452864,0.0171116066142819,57900000,0.0101347803255733,302352864,0.0151185558694214,2020
"12","COL","Colombia",2084382,0.000145905939632968,0,0,2084382,0.000104225391826341,2020
"13","CRI","Costa Rica",1631159,0.000114180503662847,0,0,1631159,8.15628737467809e-05,2020
"14","CZE","Czech Republic",92148379,0.00645035114659879,35300000,0.00617889025030632,127448379,0.00637280366022496,2020
"15","CYP","Cyprus",8579417,0.000600555895650634,37300000,0.00652896901802906,45879417,0.00229410933964556,2020
"16","DEU","Germany",899990912,0.0629990182588853,325900000,0.0570453352004201,1225890912,0.0612982460218667,2020
"17","DNK","Denmark",479055964,0.0335337335307047,9.7e+07,0.0169788202345528,576055964,0.0288045370578908,2020
"18","ESP","Spain",97309562,0.0068116319747928,61600000,0.0107824260458603,158909562,0.00794595777760614,2020
"19","FIN","Finland",2238820249,0.156716557761322,1238700000,0.216821284789078,3477520249,0.173886509543865,2020
